amit@bdaemon:~/acads/cse221/OS_Benchmark/src$ tail ../data/context_switch_0.txt 
193552204636

Run: 996,   end: 50193552634368

Run: 997,   end: 50193553047964

Run: 998,   end: 50193553465392

Run: 999,   end: 50193553885096

amit@bdaemon:~/acads/cse221/OS_Benchmark/src$ ./a.out
Loading test module... 
Run: 0, start: 50253459517716
Run: 0,   end: 50253459753620

Run: 1, start: 50253460023988
Run: 1,   end: 50253460209936

Run: 2, start: 50253460431476
Run: 2,   end: 50253466359004

Run: 3, start: 50253466713460
Run: 3,   end: 50253466909920

Run: 4, start: 50253467143084
Run: 4,   end: 50253467321960

Run: 5, start: 50253467542304
Run: 5,   end: 50253467720732

Run: 6, start: 50253467938844
Run: 6,   end: 50253468125040

Run: 7, start: 50253468344952
Run: 7,   end: 50253468519052

Run: 8, start: 50253468824668
Run: 8,   end: 50253469004096

Run: 9, start: 50253469224000
Run: 9,   end: 50253469398380

Run: 10, start: 50253469617860
Run: 10,   end: 50253469803640

Run: 11, start: 50253470026388
Run: 11,   end: 50253470208004

Run: 12, start: 50253470426076
Run: 12,   end: 50253470602408

Run: 13, start: 50253470795652
Run: 13,   end: 50253470906876

Run: 14, start: 50253471046532
Run: 14,   end: 50253471153624

Run: 15, start: 50253471296684
Run: 15,   end: 50253471413988

Run: 16, start: 50253471554472
Run: 16,   end: 50253471660648

Run: 17, start: 50253471799764
Run: 17,   end: 50253471905196

Run: 18, start: 50253472045528
Run: 18,   end: 50253472155888

Run: 19, start: 50253472294868
Run: 19,   end: 50253472402772

Run: 20, start: 50253472540700
Run: 20,   end: 50253472647068

Run: 21, start: 50253472791316
Run: 21,   end: 50253472897872

Run: 22, start: 50253473037092
Run: 22,   end: 50253473144564

Run: 23, start: 50253473283848
Run: 23,   end: 50253473393928

Run: 24, start: 50253473535188
Run: 24,   end: 50253473641860

Run: 25, start: 50253473785556
Run: 25,   end: 50253473893456

Run: 26, start: 50253474038400
Run: 26,   end: 50253474145072

Run: 27, start: 50253474283836
Run: 27,   end: 50253474391000

Run: 28, start: 50253474530380
Run: 28,   end: 50253474637572

Run: 29, start: 50253474775712
Run: 29,   end: 50253474884424

Run: 30, start: 50253475025096
Run: 30,   end: 50253475133124

Run: 31, start: 50253475273288
Run: 31,   end: 50253475381024

Run: 32, start: 50253475521432
Run: 32,   end: 50253475630172

Run: 33, start: 50253475768564
Run: 33,   end: 50253475875300

Run: 34, start: 50253476022544
Run: 34,   end: 50253476175460

Run: 35, start: 50253476319376
Run: 35,   end: 50253476428644

Run: 36, start: 50253476568132
Run: 36,   end: 50253476676804

Run: 37, start: 50253476818768
Run: 37,   end: 50253476926976

Run: 38, start: 50253477067832
Run: 38,   end: 50253477183424

Run: 39, start: 50253477325552
Run: 39,   end: 50253477443780

Run: 40, start: 50253477586056
Run: 40,   end: 50253477696104

Run: 41, start: 50253477844736
Run: 41,   end: 50253477955780

Run: 42, start: 50253478096644
Run: 42,   end: 50253478207772

Run: 43, start: 50253478349664
Run: 43,   end: 50253478458960

Run: 44, start: 50253478603436
Run: 44,   end: 50253478713520

Run: 45, start: 50253478855520
Run: 45,   end: 50253478965268

Run: 46, start: 50253479108040
Run: 46,   end: 50253479218944

Run: 47, start: 50253479361584
Run: 47,   end: 50253479472036

Run: 48, start: 50253479614904
Run: 48,   end: 50253479726256

Run: 49, start: 50253479870488
Run: 49,   end: 50253479982940

Run: 50, start: 50253480122420
Run: 50,   end: 50253480442812

Run: 51, start: 50253480593816
Run: 51,   end: 50253480706544

Run: 52, start: 50253480846076
Run: 52,   end: 50253480961436

Run: 53, start: 50253481103660
Run: 53,   end: 50253481215980

Run: 54, start: 50253481356504
Run: 54,   end: 50253481474304

Run: 55, start: 50253481616708
Run: 55,   end: 50253481728564

Run: 56, start: 50253481870924
Run: 56,   end: 50253481988976

Run: 57, start: 50253482133452
Run: 57,   end: 50253482246272

Run: 58, start: 50253482388560
Run: 58,   end: 50253482503008

Run: 59, start: 50253482651108
Run: 59,   end: 50253486906244

Run: 60, start: 50253487178936
Run: 60,   end: 50253487395336

Run: 61, start: 50253487636528
Run: 61,   end: 50253487829336

Run: 62, start: 50253488058408
Run: 62,   end: 50253488251152

Run: 63, start: 50253488481920
Run: 63,   end: 50253488668096

Run: 64, start: 50253488897012
Run: 64,   end: 50253489086020

Run: 65, start: 50253489315484
Run: 65,   end: 50253489499316

Run: 66, start: 50253489722024
Run: 66,   end: 50253489906064

Run: 67, start: 50253490149180
Run: 67,   end: 50253490337324

Run: 68, start: 50253490564008
Run: 68,   end: 50253490747588

Run: 69, start: 50253490969472
Run: 69,   end: 50253491152840

Run: 70, start: 50253491380592
Run: 70,   end: 50253491564108

Run: 71, start: 50253491786876
Run: 71,   end: 50253491970132

Run: 72, start: 50253492193372
Run: 72,   end: 50253492378240

Run: 73, start: 50253492604704
Run: 73,   end: 50253492790744

Run: 74, start: 50253493013096
Run: 74,   end: 50253493198388

Run: 75, start: 50253493424600
Run: 75,   end: 50253493609248

Run: 76, start: 50253493832612
Run: 76,   end: 50253494017920

Run: 77, start: 50253494239416
Run: 77,   end: 50253494423832

Run: 78, start: 50253494645616
Run: 78,   end: 50253494830328

Run: 79, start: 50253495055704
Run: 79,   end: 50253495344544

Run: 80, start: 50253495578104
Run: 80,   end: 50253495767648

