root@bdaemon:/home/amit/acads/cse221/OS_Benchmark/src# ping -c 100 -s 1024 128.54.246.71
PING 128.54.246.71 (128.54.246.71) 1024(1052) bytes of data.
1032 bytes from 128.54.246.71: icmp_seq=1 ttl=63 time=6.83 ms
1032 bytes from 128.54.246.71: icmp_seq=2 ttl=63 time=12.5 ms
1032 bytes from 128.54.246.71: icmp_seq=3 ttl=63 time=16.5 ms
1032 bytes from 128.54.246.71: icmp_seq=4 ttl=63 time=4.73 ms
1032 bytes from 128.54.246.71: icmp_seq=5 ttl=63 time=10.7 ms
1032 bytes from 128.54.246.71: icmp_seq=6 ttl=63 time=9.75 ms
1032 bytes from 128.54.246.71: icmp_seq=7 ttl=63 time=4.39 ms
1032 bytes from 128.54.246.71: icmp_seq=8 ttl=63 time=4.47 ms
1032 bytes from 128.54.246.71: icmp_seq=9 ttl=63 time=9.06 ms
1032 bytes from 128.54.246.71: icmp_seq=10 ttl=63 time=5.29 ms
1032 bytes from 128.54.246.71: icmp_seq=11 ttl=63 time=3.79 ms
1032 bytes from 128.54.246.71: icmp_seq=12 ttl=63 time=13.8 ms
1032 bytes from 128.54.246.71: icmp_seq=13 ttl=63 time=5.50 ms
1032 bytes from 128.54.246.71: icmp_seq=14 ttl=63 time=10.5 ms
1032 bytes from 128.54.246.71: icmp_seq=15 ttl=63 time=6.33 ms
1032 bytes from 128.54.246.71: icmp_seq=16 ttl=63 time=12.1 ms
1032 bytes from 128.54.246.71: icmp_seq=17 ttl=63 time=6.13 ms
1032 bytes from 128.54.246.71: icmp_seq=18 ttl=63 time=4.89 ms
1032 bytes from 128.54.246.71: icmp_seq=19 ttl=63 time=3.60 ms
1032 bytes from 128.54.246.71: icmp_seq=22 ttl=63 time=3.89 ms
1032 bytes from 128.54.246.71: icmp_seq=23 ttl=63 time=12.0 ms
1032 bytes from 128.54.246.71: icmp_seq=24 ttl=63 time=3.65 ms
1032 bytes from 128.54.246.71: icmp_seq=25 ttl=63 time=15.4 ms
1032 bytes from 128.54.246.71: icmp_seq=26 ttl=63 time=3.67 ms
1032 bytes from 128.54.246.71: icmp_seq=27 ttl=63 time=3.33 ms
1032 bytes from 128.54.246.71: icmp_seq=28 ttl=63 time=8.48 ms
1032 bytes from 128.54.246.71: icmp_seq=29 ttl=63 time=3.83 ms
1032 bytes from 128.54.246.71: icmp_seq=30 ttl=63 time=4.69 ms
1032 bytes from 128.54.246.71: icmp_seq=31 ttl=63 time=3.80 ms
1032 bytes from 128.54.246.71: icmp_seq=32 ttl=63 time=3.48 ms
