Loading test module... 

 Iteration 0, time: 39724.000000

 Iteration 1, time: 47140.000000

 Iteration 2, time: 56596.000000

 Iteration 3, time: 43112.000000

 Iteration 4, time: 44108.000000

 Iteration 5, time: 36912.000000

 Iteration 6, time: 42484.000000

 Iteration 7, time: 36140.000000

 Iteration 8, time: 36312.000000

 Iteration 9, time: 35932.000000

 Iteration 10, time: 35744.000000

 Iteration 11, time: 35788.000000

 Iteration 12, time: 35748.000000

 Iteration 13, time: 35864.000000

 Iteration 14, time: 35932.000000

 Iteration 15, time: 35864.000000

 Iteration 16, time: 35848.000000

 Iteration 17, time: 35780.000000

 Iteration 18, time: 35952.000000

 Iteration 19, time: 35948.000000

 Iteration 20, time: 36124.000000

 Iteration 21, time: 35936.000000

 Iteration 22, time: 36092.000000

 Iteration 23, time: 35800.000000

 Iteration 24, time: 36284.000000

 Iteration 25, time: 35792.000000

 Iteration 26, time: 35824.000000

 Iteration 27, time: 35996.000000

 Iteration 28, time: 35796.000000

 Iteration 29, time: 35888.000000

 Iteration 30, time: 35736.000000

 Iteration 31, time: 36080.000000

 Iteration 32, time: 35892.000000

 Iteration 33, time: 35968.000000

 Iteration 34, time: 35796.000000

 Iteration 35, time: 73672.000000

 Iteration 36, time: 36324.000000

 Iteration 37, time: 35736.000000

 Iteration 38, time: 36012.000000

 Iteration 39, time: 35852.000000

 Iteration 40, time: 36616.000000

 Iteration 41, time: 36080.000000

 Iteration 42, time: 35976.000000

 Iteration 43, time: 35888.000000

 Iteration 44, time: 35840.000000

 Iteration 45, time: 36108.000000

 Iteration 46, time: 36112.000000

 Iteration 47, time: 35840.000000

 Iteration 48, time: 36124.000000

 Iteration 49, time: 35728.000000

 Iteration 50, time: 35980.000000

 Iteration 51, time: 35816.000000

 Iteration 52, time: 35812.000000

 Iteration 53, time: 36096.000000

 Iteration 54, time: 36076.000000

 Iteration 55, time: 35984.000000

 Iteration 56, time: 36032.000000

 Iteration 57, time: 35936.000000

 Iteration 58, time: 36244.000000

 Iteration 59, time: 35904.000000

 Iteration 60, time: 35968.000000

 Iteration 61, time: 35892.000000

 Iteration 62, time: 36204.000000

 Iteration 63, time: 38656.000000

 Iteration 64, time: 36360.000000

 Iteration 65, time: 36236.000000

 Iteration 66, time: 36076.000000

 Iteration 67, time: 37768.000000

 Iteration 68, time: 36328.000000

 Iteration 69, time: 35820.000000

 Iteration 70, time: 35908.000000

 Iteration 71, time: 36000.000000

 Iteration 72, time: 36368.000000

 Iteration 73, time: 36148.000000

 Iteration 74, time: 36144.000000

 Iteration 75, time: 36164.000000

 Iteration 76, time: 35940.000000

 Iteration 77, time: 35988.000000

 Iteration 78, time: 35924.000000

 Iteration 79, time: 36064.000000

 Iteration 80, time: 35976.000000

 Iteration 81, time: 35964.000000

 Iteration 82, time: 36208.000000

 Iteration 83, time: 35712.000000

 Iteration 84, time: 35952.000000

 Iteration 85, time: 36136.000000

 Iteration 86, time: 37188.000000

 Iteration 87, time: 36052.000000

 Iteration 88, time: 36288.000000

 Iteration 89, time: 36548.000000

 Iteration 90, time: 35864.000000

 Iteration 91, time: 39556.000000

 Iteration 92, time: 36356.000000

 Iteration 93, time: 36124.000000

 Iteration 94, time: 35980.000000

 Iteration 95, time: 35868.000000

 Iteration 96, time: 35844.000000

 Iteration 97, time: 36064.000000

 Iteration 98, time: 36268.000000

 Iteration 99, time: 36656.000000

 Iteration 100, time: 36052.000000

 Iteration 101, time: 35928.000000

 Iteration 102, time: 39620.000000

 Iteration 103, time: 36740.000000

 Iteration 104, time: 36840.000000

 Iteration 105, time: 36236.000000

 Iteration 106, time: 35952.000000

 Iteration 107, time: 35852.000000

 Iteration 108, time: 35828.000000

 Iteration 109, time: 35996.000000

 Iteration 110, time: 35892.000000

 Iteration 111, time: 36044.000000

 Iteration 112, time: 36004.000000

 Iteration 113, time: 35964.000000

 Iteration 114, time: 35820.000000

 Iteration 115, time: 36016.000000

 Iteration 116, time: 35968.000000

 Iteration 117, time: 35852.000000

 Iteration 118, time: 36084.000000

 Iteration 119, time: 35916.000000

 Iteration 120, time: 35984.000000

 Iteration 121, time: 35816.000000

 Iteration 122, time: 35804.000000

 Iteration 123, time: 43864.000000

 Iteration 124, time: 37780.000000

 Iteration 125, time: 36916.000000

 Iteration 126, time: 36256.000000

 Iteration 127, time: 36096.000000

 Iteration 128, time: 36008.000000

 Iteration 129, time: 36200.000000

 Iteration 130, time: 36304.000000

 Iteration 131, time: 36392.000000

 Iteration 132, time: 36356.000000

 Iteration 133, time: 35956.000000

 Iteration 134, time: 36032.000000

 Iteration 135, time: 35824.000000

 Iteration 136, time: 36524.000000

 Iteration 137, time: 36132.000000

 Iteration 138, time: 36172.000000

 Iteration 139, time: 36196.000000

 Iteration 140, time: 36096.000000

 Iteration 141, time: 36036.000000

 Iteration 142, time: 35868.000000

 Iteration 143, time: 36224.000000

 Iteration 144, time: 36252.000000

 Iteration 145, time: 36648.000000

 Iteration 146, time: 36228.000000

 Iteration 147, time: 36168.000000

 Iteration 148, time: 104740.000000

 Iteration 149, time: 87496.000000

 Iteration 150, time: 81392.000000

 Iteration 151, time: 84524.000000

 Iteration 152, time: 38620.000000

 Iteration 153, time: 36144.000000

 Iteration 154, time: 36124.000000

 Iteration 155, time: 36176.000000

 Iteration 156, time: 36280.000000

 Iteration 157, time: 35860.000000

 Iteration 158, time: 37528.000000

 Iteration 159, time: 36068.000000

 Iteration 160, time: 36068.000000

 Iteration 161, time: 36056.000000

 Iteration 162, time: 36008.000000

 Iteration 163, time: 36176.000000

 Iteration 164, time: 36072.000000

 Iteration 165, time: 36292.000000

 Iteration 166, time: 36272.000000

 Iteration 167, time: 36404.000000

 Iteration 168, time: 36156.000000

 Iteration 169, time: 36280.000000

 Iteration 170, time: 35980.000000

 Iteration 171, time: 35996.000000

 Iteration 172, time: 36216.000000

 Iteration 173, time: 35888.000000

 Iteration 174, time: 35872.000000

 Iteration 175, time: 35992.000000

 Iteration 176, time: 36988.000000

 Iteration 177, time: 36220.000000

 Iteration 178, time: 35900.000000

 Iteration 179, time: 36468.000000

 Iteration 180, time: 35828.000000

 Iteration 181, time: 35856.000000

 Iteration 182, time: 36356.000000

 Iteration 183, time: 36048.000000

 Iteration 184, time: 36252.000000

 Iteration 185, time: 35744.000000

 Iteration 186, time: 35972.000000

 Iteration 187, time: 36392.000000

 Iteration 188, time: 36340.000000

 Iteration 189, time: 35984.000000

 Iteration 190, time: 36028.000000

 Iteration 191, time: 36280.000000

 Iteration 192, time: 36228.000000

 Iteration 193, time: 36224.000000

 Iteration 194, time: 36020.000000

 Iteration 195, time: 36088.000000

 Iteration 196, time: 36204.000000

 Iteration 197, time: 36048.000000

 Iteration 198, time: 35940.000000

 Iteration 199, time: 36144.000000

 Iteration 200, time: 36212.000000

 Iteration 201, time: 36144.000000

 Iteration 202, time: 36116.000000

 Iteration 203, time: 36060.000000

 Iteration 204, time: 36168.000000

 Iteration 205, time: 36228.000000

 Iteration 206, time: 37660.000000

 Iteration 207, time: 36100.000000

 Iteration 208, time: 36408.000000

 Iteration 209, time: 36204.000000

 Iteration 210, time: 36232.000000

 Iteration 211, time: 36420.000000

 Iteration 212, time: 36212.000000

 Iteration 213, time: 36396.000000

 Iteration 214, time: 36060.000000

 Iteration 215, time: 276472.000000

 Iteration 216, time: 36388.000000

 Iteration 217, time: 36052.000000

 Iteration 218, time: 36044.000000

 Iteration 219, time: 35964.000000

 Iteration 220, time: 35936.000000

 Iteration 221, time: 36000.000000

 Iteration 222, time: 36348.000000

 Iteration 223, time: 36888.000000

 Iteration 224, time: 36704.000000

 Iteration 225, time: 36372.000000

 Iteration 226, time: 36068.000000

 Iteration 227, time: 36456.000000

 Iteration 228, time: 39480.000000

 Iteration 229, time: 36052.000000

 Iteration 230, time: 36084.000000

 Iteration 231, time: 36036.000000

 Iteration 232, time: 36228.000000

 Iteration 233, time: 36128.000000

 Iteration 234, time: 36108.000000

 Iteration 235, time: 35968.000000

 Iteration 236, time: 36032.000000

 Iteration 237, time: 36196.000000

 Iteration 238, time: 36028.000000

 Iteration 239, time: 36176.000000

 Iteration 240, time: 37192.000000

 Iteration 241, time: 36136.000000

 Iteration 242, time: 36360.000000

 Iteration 243, time: 138552.000000

 Iteration 244, time: 35976.000000

 Iteration 245, time: 35872.000000

 Iteration 246, time: 35996.000000

 Iteration 247, time: 36268.000000

 Iteration 248, time: 37028.000000

 Iteration 249, time: 38856.000000

 Iteration 250, time: 36080.000000

 Iteration 251, time: 36228.000000

 Iteration 252, time: 36020.000000

 Iteration 253, time: 36108.000000

 Iteration 254, time: 143672.000000

 Iteration 255, time: 36372.000000

 Iteration 256, time: 36148.000000

 Iteration 257, time: 35832.000000

 Iteration 258, time: 36240.000000

 Iteration 259, time: 36832.000000

 Iteration 260, time: 36048.000000

 Iteration 261, time: 36296.000000

 Iteration 262, time: 36668.000000

 Iteration 263, time: 36012.000000

 Iteration 264, time: 36668.000000

 Iteration 265, time: 36084.000000

 Iteration 266, time: 36332.000000

 Iteration 267, time: 36020.000000

 Iteration 268, time: 36148.000000

 Iteration 269, time: 35904.000000

 Iteration 270, time: 36416.000000

 Iteration 271, time: 35860.000000

 Iteration 272, time: 36236.000000

 Iteration 273, time: 35984.000000

 Iteration 274, time: 36148.000000

 Iteration 275, time: 35912.000000

 Iteration 276, time: 35640.000000

 Iteration 277, time: 35888.000000

 Iteration 278, time: 35892.000000

 Iteration 279, time: 35892.000000

 Iteration 280, time: 35840.000000

 Iteration 281, time: 35928.000000

 Iteration 282, time: 36168.000000

 Iteration 283, time: 36004.000000

 Iteration 284, time: 36108.000000

 Iteration 285, time: 36044.000000

 Iteration 286, time: 35888.000000

 Iteration 287, time: 36140.000000

 Iteration 288, time: 36088.000000

 Iteration 289, time: 36064.000000

 Iteration 290, time: 36084.000000

 Iteration 291, time: 36296.000000

 Iteration 292, time: 36000.000000

 Iteration 293, time: 36164.000000

 Iteration 294, time: 36220.000000

 Iteration 295, time: 36312.000000

 Iteration 296, time: 36276.000000

 Iteration 297, time: 36156.000000

 Iteration 298, time: 36000.000000

 Iteration 299, time: 36232.000000

 Iteration 300, time: 36004.000000

 Iteration 301, time: 36028.000000

 Iteration 302, time: 36008.000000

 Iteration 303, time: 35972.000000

 Iteration 304, time: 36080.000000

 Iteration 305, time: 36104.000000

 Iteration 306, time: 35940.000000

 Iteration 307, time: 36264.000000

 Iteration 308, time: 35720.000000

 Iteration 309, time: 36140.000000

 Iteration 310, time: 35960.000000

 Iteration 311, time: 35948.000000

 Iteration 312, time: 36136.000000

 Iteration 313, time: 36180.000000

 Iteration 314, time: 36080.000000

 Iteration 315, time: 106320.000000

 Iteration 316, time: 35968.000000

 Iteration 317, time: 35816.000000

 Iteration 318, time: 36036.000000

 Iteration 319, time: 36196.000000

 Iteration 320, time: 36088.000000

 Iteration 321, time: 35824.000000

 Iteration 322, time: 35948.000000

 Iteration 323, time: 36316.000000

 Iteration 324, time: 36092.000000

 Iteration 325, time: 36164.000000

 Iteration 326, time: 36220.000000

 Iteration 327, time: 35896.000000

 Iteration 328, time: 36360.000000

 Iteration 329, time: 35848.000000

 Iteration 330, time: 35932.000000

 Iteration 331, time: 35916.000000

 Iteration 332, time: 35832.000000

